C	LAND	USE	BY	SOIL	TYPE	IN 	PERCENTAGE																				
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	A	0	
	24.0521	58.6641	15.5197	31.7176	45.8367	42.3687	29.9034	35.0074	8.2133	22.3978	76.3343	39.8919	26.7414	0.0000	12.1940	27.8153	34.2522	26.7414	51.2199	79.8273	63.5568	19.3377	26.7414	/	B	83173	
	25.4154	24.2974	52.1634	21.9122	29.6052	10.2168	34.4278	28.8375	50.9302	53.3147	15.3625	10.1057	36.5196	17.0916	24.4352	26.9476	20.3229	36.5196	31.8721	13.9809	14.5954	26.7783	36.5196	/	C	113586	
	50.5326	17.0385	32.3169	46.3702	24.5581	47.4145	35.6687	36.1551	40.8566	24.2875	8.3032	50.0024	36.7390	82.9084	63.3707	45.2371	45.4249	36.7390	16.9080	6.1918	21.8478	53.8840	36.7390	/	D	114268	
C	8.4897	0.3780	0.0083	15.3347	3.3957	0.4912	1.5144	5.3955	16.8453	0.0110	6.8602	0.0990	0.0000	19.8537	1.3438	6.8341	0.0000	0.0000	9.1399	0.2340	3.7715	0.0000	100.0000	/	21	53613	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	A	0	
	0.2913	0.0000	46.2754	2.9248	0.3867	0.0000	10.1233	10.5270	2.3208	0.0000	2.3176	63.9465	3.1782	1.8041	8.8470	5.0762	3.1782	3.1782	3.5958	0.0000	5.3263	3.1782	3.1782	/	B	1704	
	42.3324	100.0000	0.0000	18.5317	32.2598	100.0000	10.6899	62.0431	41.1364	100.0000	94.8841	15.8688	36.1077	1.7854	0.0000	34.8287	36.1077	36.1077	55.3875	100.0000	71.6265	36.1077	36.1077	/	C	19358	
	57.3762	0.0000	53.7246	78.5435	67.3535	0.0000	79.1868	27.4299	56.5428	0.0000	2.7983	20.1847	60.7141	96.4105	91.1530	60.0951	60.7141	60.7141	41.0167	0.0000	23.0471	60.7141	60.7141	/	D	32550	
C	3.8941	0.0000	0.0000	5.0821	0.1826	0.6523	0.6902	8.0695	11.2121	0.0938	4.0977	2.4958	0.0000	46.0384	5.5829	2.6163	0.0186	0.0000	1.1675	0.2759	7.8263	0.0039	100.0000	/	22	59681	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	A	0	
	4.9875	0.6538	0.6538	0.4148	3.7809	0.0000	0.0000	3.2802	0.2460	0.0000	1.0995	0.9963	0.6538	0.0039	0.0000	0.0000	0.0000	0.6538	0.0000	0.0000	0.8639	0.0000	0.6538	/	B	390	
	85.7066	34.7393	34.7393	95.7517	93.8056	73.5077	61.9835	54.8350	32.4176	100.0000	98.4417	54.3013	34.7393	6.0506	26.3294	84.6978	100.0000	34.7393	100.0000	87.2882	51.2655	100.0000	34.7393	/	C	20733	
	9.3059	64.6069	64.6069	3.8335	2.4135	26.4923	38.0165	41.8848	67.3364	0.0000	0.4588	44.7024	64.6069	93.9455	73.6706	15.3022	0.0000	64.6069	0.0000	12.7118	47.8706	0.0000	64.6069	/	D	38558	
C	1.5942	0.3030	0.0000	0.7742	0.0081	0.4019	1.6161	4.9723	23.1971	0.0000	11.1682	4.9581	0.0000	47.9452	0.4788	0.0042	0.0760	0.0000	0.0000	0.0400	2.4628	0.0000	100.0000	/	23	76514	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	A	0	
	7.7901	0.0000	5.3955	6.5379	0.0000	0.0000	5.4395	12.5697	5.4807	5.3955	4.4863	6.2380	5.3955	4.8052	0.0000	0.0000	0.0000	5.3955	5.3955	0.0000	4.9623	5.3955	5.3955	/	B	4128	
	25.6214	27.9934	15.1010	0.0017	0.0000	0.0000	3.6045	5.8896	11.9814	15.1010	87.2218	4.6074	15.1010	2.4646	0.0000	100.0000	13.4652	15.1010	15.1010	0.0000	12.6582	15.1010	15.1010	/	C	11554	
	66.5885	72.0066	79.5035	93.4604	100.0000	100.0000	90.9560	81.5407	82.5379	79.5035	8.2919	89.1546	79.5035	92.7302	100.0000	0.0000	86.5348	79.5035	79.5035	100.0000	82.3794	79.5035	79.5035	/	D	60831	
C	0.0000	0.0135	0.0000	0.2996	0.0000	0.0000	0.0799	2.6145	71.4345	0.0000	0.5780	8.5739	0.0000	4.8695	0.0000	0.0000	0.0724	0.0000	0.0000	0.1889	11.2529	0.0223	100.0000	/	24	185016	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	A	0	
	40.7656	86.5469	40.7656	0.0000	40.7656	40.7656	41.7817	14.3104	39.6767	40.7656	70.7583	53.7496	40.7656	36.1396	40.7656	40.7656	75.9684	40.7656	40.7656	100.0000	44.1076	85.0279	40.7656	/	B	75423	
	0.0359	0.0000	0.0359	0.0000	0.0359	0.0359	0.0000	0.0000	0.0423	0.0359	0.0000	0.0000	0.0359	0.0000	0.0359	0.0359	0.0000	0.0359	0.0359	0.0000	0.0508	0.0000	0.0359	/	C	66	
	59.1985	13.4531	59.1985	100.0000	59.1985	59.1985	58.2183	85.6896	60.2810	59.1985	29.2417	46.2504	59.1985	63.8604	59.1985	59.1985	24.0316	59.1985	59.1985	0.0000	55.8416	14.9721	59.1985	/	D	109527	
C	6.6632	0.5469	0.0000	4.6433	0.1856	1.5945	2.4950	19.4904	40.5522	0.0218	3.3506	3.2787	0.0000	0.0000	2.8255	0.7656	0.0031	0.0000	6.8404	0.3024	6.4082	0.0326	100.0000	/	25	258140	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	A	0	
	12.7622	91.0400	20.8623	21.6878	41.6206	48.5747	31.5038	18.3989	6.9244	89.1374	83.6220	8.4661	20.8623	20.8623	13.3879	20.0150	83.1461	20.8623	55.4860	64.0944	44.1779	67.3921	20.8623	/	B	53854	
	20.7166	5.0364	17.8967	32.1993	21.3488	28.0904	30.3098	12.6833	15.7173	10.8626	7.1606	14.9661	17.8967	17.8967	20.0370	7.9172	16.8539	17.8967	29.0824	14.7671	23.5194	8.3482	17.8967	/	C	46199	
	66.5212	3.9236	61.2410	46.1128	37.0306	23.3349	38.1865	68.9178	77.3583	0.0000	9.2174	76.5679	61.2410	61.2410	66.5752	72.0678	0.0000	61.2410	15.4316	21.1385	32.3027	24.2597	61.2410	/	D	158087	
C	0.0000	0.1652	0.0000	0.0424	0.0475	0.0000	0.0006	1.3370	27.4997	0.0000	0.1308	0.9943	0.0000	0.5900	0.1807	0.2778	0.1024	0.0000	0.0145	0.0874	68.4928	0.0369	100.0000	/	26N	137276	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	A	0	
	15.0471	43.1148	15.0471	0.0000	0.0000	15.0471	0.0000	42.8722	20.2207	15.0471	67.4224	28.4916	15.0471	0.0000	0.0000	0.1993	16.8872	15.0471	0.0000	20.2535	12.2613	100.0000	15.0471	/	B	20656	
	4.5107	0.0000	4.5107	82.1527	33.1748	4.5107	0.0000	5.9253	3.9647	4.5107	0.0000	4.1284	4.5107	0.0099	0.0000	32.7801	0.0000	4.5107	100.0000	2.0929	4.5875	0.0000	4.5107	/	C	6192	
	80.4422	56.8852	80.4422	17.8473	66.8252	80.4422	100.0000	51.2025	75.8146	80.4422	32.5776	67.3800	80.4422	99.9901	100.0000	67.0207	83.1128	80.4422	0.0000	77.6536	83.1512	0.0000	80.4422	/	D	110428	
C	1.0510	0.0000	0.0000	2.0779	0.0071	0.0000	0.4026	2.2686	37.1988	0.0000	0.1048	5.3525	0.0000	0.0000	0.1406	0.1051	0.0419	0.0000	0.0000	0.7544	49.8657	0.6290	100.0000	/	26S	137140	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	A	0	
	0.0000	3.7199	3.7199	0.0000	0.0000	3.7199	1.0669	1.9577	2.2978	3.7199	20.5385	0.0000	3.7199	3.7199	0.0000	56.2695	0.0000	3.7199	3.7199	0.0000	5.4863	0.0000	3.7199	/	B	5101	
	0.1734	24.1364	24.1364	0.0000	0.0000	24.1364	10.4389	4.3401	42.9848	24.1364	51.0958	9.4282	24.1364	24.1364	48.0079	7.8482	71.1250	24.1364	24.1364	31.8709	14.2384	0.0000	24.1364	/	C	33101	
	99.8266	72.1438	72.1438	100.0000	100.0000	72.1438	88.4942	93.7022	54.7174	72.1438	28.3657	90.5718	72.1438	72.1438	51.9921	35.8823	28.8750	72.1438	72.1438	68.1291	80.2753	100.0000	72.1438	/	D	98938	
C	1.2206	0.1243	0.0000	3.2712	0.2009	0.2946	1.2973	1.6282	57.4573	0.0146	2.4542	6.9157	0.0254	0.0366	0.1107	0.2983	0.0738	0.0000	0.4229	0.5166	7.7499	15.8872	100.0000	/	60N	438301	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	A	0	
	31.4475	47.7526	20.0186	22.1175	86.7645	28.1887	6.2880	15.5368	6.6778	76.1294	66.1578	13.6380	100.0000	0.0000	2.7729	46.7346	13.1469	20.0186	16.6620	54.2133	30.9653	56.1294	20.0186	/	B	87742	
	36.2665	8.0258	6.1494	25.3324	5.1005	51.4883	4.3686	10.1827	3.7818	0.0000	3.4739	4.8839	0.0000	100.0000	88.3684	38.8708	0.7168	6.1494	72.9698	15.3687	4.6062	5.6146	6.1494	/	C	26953	
	32.2860	44.2217	73.8320	52.5501	8.1351	20.3230	89.3434	74.2805	89.5404	23.8706	30.3683	81.4781	0.0000	0.0000	8.8587	14.3946	86.1363	73.8320	10.3682	30.4180	64.4285	38.2560	73.8320	/	D	323607	
C	4.0590	1.1877	0.0000	3.6436	0.4659	1.9809	0.5033	11.7718	23.9558	0.2256	17.9066	3.7730	0.0000	1.2536	1.0181	0.0301	0.0042	0.0000	6.2005	2.0465	14.0506	5.9232	100.0000	/	60S	220836	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	A	0	
	6.8987	62.3771	5.2559	7.2157	18.0725	2.8181	5.4397	2.1297	3.0123	6.6648	7.2334	3.3266	5.2559	0.0000	0.0983	0.0000	0.0000	5.2559	1.1682	20.2028	4.7211	4.1591	5.2559	/	B	11607	
	10.5236	7.6913	23.9521	12.5533	5.4961	39.8649	23.2703	25.3175	7.7502	7.6665	65.4062	18.0366	23.9521	18.1471	22.4755	0.0000	17.8571	23.9521	32.4763	27.0150	6.1852	15.2680	23.9521	/	C	52895	
	82.5777	29.9316	70.7920	80.2310	76.4314	57.3169	71.2900	72.5529	89.2375	85.6687	27.3604	78.6368	70.7920	81.8529	77.4262	100.0000	82.1429	70.7920	66.3555	52.7822	89.0937	80.5728	70.7920	/	D	156334	
C	2.2385	16.3418	0.0000	6.1432	0.1639	0.3514	0.7291	2.7818	28.9461	0.1507	6.9205	13.9645	0.0000	1.5551	0.0118	0.1024	0.0764	0.0000	0.2019	0.6706	15.6234	3.0269	100.0000	/	61	380394	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	A	0	
	47.0028	71.1595	43.2095	29.8163	79.2410	95.7624	49.4924	36.8741	19.3023	83.1726	72.2662	17.3884	43.2095	12.1174	23.4047	48.9433	66.4431	43.2095	64.9068	61.9329	68.0897	73.5258	43.2095	/	B	164366	
	17.5216	21.8478	22.0715	29.8263	0.0000	3.7887	21.3338	11.3277	25.6519	0.0000	17.9924	26.6856	22.0715	7.5856	0.0000	6.2296	18.1149	22.0715	8.9266	26.5648	16.2521	17.2553	22.0715	/	C	83959	
	35.4756	6.9928	34.7190	40.3574	20.7590	0.4489	29.1738	51.7982	55.0458	16.8274	9.7414	55.9260	34.7190	80.2970	76.5953	44.8271	15.4420	34.7190	26.1666	11.5023	15.6582	9.2189	34.7190	/	D	132069	
C	5.9077	26.4856	0.0000	14.6311	0.2450	1.0974	2.0335	1.8067	19.0398	0.0138	5.2146	6.6542	0.0000	0.0000	0.0147	0.0000	0.0842	0.0000	0.1406	1.0885	10.8881	4.6546	100.0000	/	62	334093	
	26.4900	26.4647	24.1805	41.5625	16.7972	4.4179	22.1417	9.5826	4.7420	0.0000	23.5628	15.3571	24.1805	24.1805	0.0000	24.1805	9.3942	24.1805	3.7184	65.3978	39.5474	13.4872	24.1805	/	A	80785	
	23.1473	20.6575	23.5371	15.5542	29.5542	16.2705	29.3618	21.0575	22.2634	78.7820	51.2124	22.5378	23.5371	23.5371	60.4613	23.5371	21.1050	23.5371	86.2522	17.3595	34.0615	15.6522	23.5371	/	B	78636	
	31.2694	46.2080	37.9479	29.9115	42.7254	77.9428	41.4210	57.1735	40.2698	0.0000	22.2033	31.1389	37.9479	37.9479	39.5387	37.9479	41.6770	37.9479	10.0294	16.1413	21.3079	68.8063	37.9479	/	C	126781	
	19.0933	6.6697	14.3345	12.9719	10.9232	1.3687	7.0754	12.1864	32.7247	21.2180	3.0215	30.9661	14.3345	14.3345	0.0000	14.3345	27.8238	14.3345	0.0000	1.1013	5.0833	2.0543	14.3345	/	D	47891	
C	7.2962	10.7886	3.1292	8.0116	0.1257	0.0810	2.7243	3.5220	40.7630	0.0007	2.3260	6.0775	0.0000	0.7158	0.4301	0.0000	0.0268	0.0000	3.3389	1.9686	7.1742	1.4997	100.0000	/	63	512447	
	11.6607	53.9614	0.6292	22.1651	39.3741	21.8848	27.2283	18.8233	5.5874	100.0000	27.4141	29.0803	20.1156	0.5670	0.8340	20.1156	25.8960	20.1156	0.7729	85.6975	41.1746	54.0785	20.1156	/	A	103082	
	20.2762	23.4963	20.5066	31.6324	0.8491	0.0000	21.5571	20.7227	5.3762	0.0000	38.9953	10.4691	15.8923	2.7939	2.4025	15.8923	36.8593	15.8923	18.1698	8.3498	36.7249	13.5414	15.8923	/	B	81440	
	56.9840	4.2394	32.2953	38.5215	9.9739	57.8633	20.8691	45.8690	18.2690	0.0000	4.8902	31.4110	23.6557	96.0920	94.8102	23.6557	19.2294	23.6557	32.4631	3.7472	10.5781	14.2223	23.6557	/	C	121223	
	11.0792	18.3030	46.5689	7.6810	49.8029	20.2519	30.3456	14.5850	70.7674	0.0000	28.7004	29.0396	40.3364	0.5471	1.9533	40.3364	18.0153	40.3364	48.5943	2.2056	11.5224	18.1578	40.3364	/	D	206703	
C	7.8494	16.6057	5.0557	4.3111	0.0725	0.0668	2.5026	4.7372	23.5671	0.1467	3.9689	2.0323	0.0000	0.0122	0.1608	0.0719	1.2962	0.0000	0.3630	0.1944	7.0189	19.9666	100.0000	/	64	534497	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	A	0	
	27.5428	27.2294	32.8615	41.8195	21.0972	0.9861	37.1627	17.5069	16.4303	4.8027	25.7096	27.6283	28.3599	0.0000	2.3146	58.0823	9.5944	28.3599	36.0624	31.4136	35.7756	40.5817	28.3599	/	B	151583	
	50.8066	13.0117	25.3915	44.2058	33.7503	18.2985	13.7784	32.2192	25.1564	66.9804	2.1237	49.3896	22.7539	0.0000	69.4619	12.9104	0.0445	22.7539	27.3872	29.2491	5.3978	18.7131	22.7539	/	C	121619	
	21.6506	59.7589	41.7470	13.9748	45.1526	80.7155	49.0589	50.2739	58.4134	28.2169	72.1667	22.9821	48.8862	100.0000	28.2235	29.0073	90.3612	48.8862	36.5504	39.3373	58.8266	40.7053	48.8862	/	D	261295	
C	7.4661	10.2093	0.1719	2.2045	3.0161	13.0938	1.6464	4.2225	31.1525	0.0354	11.6493	0.7735	0.0000	0.0000	0.0824	0.0433	0.2313	0.0000	9.6200	1.0785	3.1916	0.1117	100.0000	/	71	151061	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	A	0	
	42.5916	42.0860	93.1121	54.9838	46.2167	49.7156	37.1557	36.4084	42.2963	25.2714	53.3660	57.7137	44.7359	44.7359	0.0000	53.2325	6.8321	44.7359	42.3007	50.7249	38.1941	100.0000	44.7359	/	B	67578	
	0.7679	21.3227	6.8879	0.0264	0.0029	0.5052	6.9091	8.5319	41.0340	0.0000	1.7241	10.8754	16.2727	16.2727	0.0000	0.0000	85.6889	16.2727	0.1528	0.0000	6.4175	0.0000	16.2727	/	C	24582	
	56.6405	36.5913	0.0000	44.9898	53.7804	49.7791	55.9352	55.0596	16.6697	74.7286	44.9100	31.4109	38.9914	38.9914	100.0000	46.7675	7.4790	38.9914	57.5466	49.2751	55.3885	0.0000	38.9914	/	D	58901	
C	16.2793	0.6582	16.6644	6.0660	1.3358	3.3027	2.6506	1.1195	33.8518	0.0243	1.8406	3.3398	0.0000	1.3513	1.6716	0.0000	0.0216	0.0000	4.6179	0.4434	4.6949	0.0665	100.0000	/	72	344809	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0089	0.0000	0.0000	0.0000	0.0030	0.0000	0.0000	0.0030	0.0000	0.0030	0.0000	0.0000	0.0000	0.0000	0.0030	/	A	10	
	24.2394	52.5919	9.4271	32.1703	22.9534	75.7502	10.4539	13.8656	1.7047	49.5828	89.2630	8.4198	16.7112	0.0000	0.0866	16.7112	16.7047	16.7112	20.7513	40.8743	41.8922	47.1091	16.7112	/	B	57622	
	2.9148	4.4056	6.7179	1.9684	6.8633	0.1177	9.2303	6.8641	0.6178	0.0000	1.0272	1.7634	3.2775	5.7245	22.1473	3.2775	0.0000	3.2775	2.9669	0.0000	5.2103	2.8494	3.2775	/	C	11301	
	72.8458	43.0026	83.8550	65.8613	70.1833	24.1321	80.3158	79.2703	97.6686	50.4172	9.7098	89.8169	80.0082	94.2755	77.7661	80.0082	83.2953	80.0082	76.2819	59.1257	52.8974	50.0415	80.0082	/	D	275875	
C	6.5445	6.6870	26.1691	0.4288	8.4813	0.1598	4.7427	4.1485	20.7262	1.5185	0.9695	0.5196	0.0000	1.8423	1.6534	0.3735	0.1774	0.0000	9.8289	2.1039	2.3362	0.5891	100.0000	/	73	167997	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	A	0	
	7.2878	21.9541	6.8088	53.1601	17.6036	0.0000	10.8144	7.0936	6.8861	10.4665	41.0148	11.2609	10.7460	0.0000	0.0000	6.0097	0.0000	10.7460	16.4892	13.7602	22.0893	0.0000	10.7460	/	B	18053	
	67.7614	78.0459	76.5313	30.8722	72.7432	100.0000	80.7380	87.5565	83.6732	88.1624	58.9852	25.6336	76.1604	17.0787	89.2199	83.9950	100.0000	76.1604	71.1451	83.4923	66.3781	100.0000	76.1604	/	C	127947	
	24.9508	0.0000	16.6599	15.9677	9.6533	0.0000	8.4476	5.3499	9.4407	1.3712	0.0000	63.1055	13.0937	82.9213	10.7801	9.9954	0.0000	13.0937	12.3657	2.7475	11.5326	0.0000	13.0937	/	D	21997	
C	3.3890	5.7755	26.9807	0.8240	2.8451	0.6879	7.3320	7.9553	20.7045	3.6767	0.7382	0.2606	0.0026	0.0000	1.1305	0.3674	0.1097	0.0000	12.3197	0.7805	2.7518	1.3682	100.0000	/	90	783248	
	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	/	A	0	
	0.6178	25.9644	17.5965	10.4504	13.5256	6.2125	38.7260	29.7338	8.5717	36.5435	12.7024	40.8950	32.4416	19.2531	9.4669	0.0751	83.8444	19.2531	19.5434	41.6500	24.5823	24.7341	19.2531	/	B	150799	
	79.5477	71.3964	64.3326	87.0692	86.4670	76.5818	41.4299	55.4011	84.9779	60.5321	87.2976	47.8670	67.5584	69.7792	71.1634	89.8505	16.1556	69.7792	78.1027	58.3474	58.2440	75.2659	69.7792	/	C	546544	
	19.8344	2.6392	18.0709	2.4803	0.0074	17.2057	19.8441	14.8651	6.4504	2.9245	0.0000	11.2379	0.0000	10.9677	19.3697	10.0744	0.0000	10.9677	2.3539	0.0026	17.1737	0.0000	10.9677	/	D	85904	
