C*******************************************************************************
C
C                          IWFM DEMAND CALCULATOR (IDC)
C                              *** Version 2.1 ***
C
C*******************************************************************************
C
C                            LAND USE DATA FILE
C
C
C             Project :    CALSIM 3.0 Development
C             Filename:    ExistLandUse.dat
C
C******************************************************************************
C                          File Description
C
C   This data file contains the time series data for the area of each
C   agricultural crop, urban and native vegetation area in each subregion.
C
C*******************************************************************************
C                           Land Use Data Specifications
C
C   FACTLN;   Conversion factor for land use area
C   DSSFL ;   The name of the DSS file for data input
C              * Leave blank if DSS file is not used for data input
C
C----------------------------------------------------------------------------------------
C         VALUE                                      DESCRIPTION
C----------------------------------------------------------------------------------------
         43560.0                                     / FACTLN
         .\inputDSS\CS3_LandUseDU.dss                              / DSSFL
C----------------------------------------------------------------------------------------
C                             Land Use Data
C                         (READ FROM THIS FILE)
C
C   List the land use data below, if it will not be read from a DSS file
C   (i.e. DSSFL is left blank above).
C
C   ITLN ;   Time
C   IREGN;   Subregion number
C   AREA ;   Area of each land use type [L^2]
C              1:Crop 1 ; 2:Crop 2 ; 3:Crop 3 ..... NCROP:Crop NCROP ; NCROP+1:Urban ; NCROP+2:Native veg.
C
C  **************************************************************** LU DOCUMENTATION ************************************************
C  **** Values taken from CalSim-III Hydrology Development Project report Table 7-7 Irrigated Crop Acreage by Demand Unit Sacramento River Hydrologic Region ****
C  **** The following assumptions were made to match land use values with latest DU list and names
C	MWH Provided DU acreage	04/22/10	LandUsebyDemandUnit_04.22.10.xlsx
C						IDC DU Name
C		     				8S_NA1
C		                 		8S_NA2
C						9_PR
C						11_PR
C		                                11_SA3
C		 				11_SA4
C						16_NA1
C						16_NA2
C						20_NA1
C						20_NA2
C						24_NA2
C						24_NA3
C  **** RICE ACREAGE HAS BEEN ZEROED-OUT AND IS ACCOUNTED FOR IN RICE POST-PROCESSOR ONLY
C  **********************************************************************************************************************************
C--------------------------------------------------------------------------------------------
C   ITLN             IREGN     AREA[1]    AREA[2]  .....  AREA[NCROP+2]
C----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
C                                                               AREA
C----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
C			IREGN	AL	AP	CO	CR	CU	DB	FI	GR	OG	OR	PA	PO	RI	SB	SF	SO	TH	TM	TR	VI	UR	NV
	49	14		/CALSIM/09_PR_SB/LANDUSE//1MON/EXISTING/
	49	15		/CALSIM/09_PR_SF/LANDUSE//1MON/EXISTING/
	49	16		/CALSIM/09_PR_SO/LANDUSE//1MON/EXISTING/
	49	17		/CALSIM/09_PR_TH/LANDUSE//1MON/EXISTING/
	49	18		/CALSIM/09_PR_TM/LANDUSE//1MON/EXISTING/
	49	19		/CALSIM/09_PR_TR/LANDUSE//1MON/EXISTING/
	49	20		/CALSIM/09_PR_VI/LANDUSE//1MON/EXISTING/
	49	21		/CALSIM/09_PR_UR/LANDUSE//1MON/EXISTING/
	49	22		/CALSIM/09_PR_NV/LANDUSE//1MON/EXISTING/
	50	1		/CALSIM/09_NU_AL/LANDUSE//1MON/EXISTING/
	50	2		/CALSIM/09_NU_AP/LANDUSE//1MON/EXISTING/
	50	3		/CALSIM/09_NU_CO/LANDUSE//1MON/EXISTING/
	50	4		/CALSIM/09_NU_CR/LANDUSE//1MON/EXISTING/
	50	5		/CALSIM/09_NU_CU/LANDUSE//1MON/EXISTING/
	50	6		/CALSIM/09_NU_DB/LANDUSE//1MON/EXISTING/
	50	7		/CALSIM/09_NU_FI/LANDUSE//1MON/EXISTING/
	50	8		/CALSIM/09_NU_GR/LANDUSE//1MON/EXISTING/
	50	9		/CALSIM/09_NU_OG/LANDUSE//1MON/EXISTING/
	50	10		/CALSIM/09_NU_OR/LANDUSE//1MON/EXISTING/
	50	11		/CALSIM/09_NU_PA/LANDUSE//1MON/EXISTING/
	50	12		/CALSIM/09_NU_PO/LANDUSE//1MON/EXISTING/
	50	13		/CALSIM/09_NU_RI/LANDUSE//1MON/EXISTING/
	50	14		/CALSIM/09_NU_SB/LANDUSE//1MON/EXISTING/
	50	15		/CALSIM/09_NU_SF/LANDUSE//1MON/EXISTING/
	50	16		/CALSIM/09_NU_SO/LANDUSE//1MON/EXISTING/
	50	17		/CALSIM/09_NU_TH/LANDUSE//1MON/EXISTING/
	50	18		/CALSIM/09_NU_TM/LANDUSE//1MON/EXISTING/
	50	19		/CALSIM/09_NU_TR/LANDUSE//1MON/EXISTING/
	50	20		/CALSIM/09_NU_VI/LANDUSE//1MON/EXISTING/
	50	21		/CALSIM/09_NU_UR/LANDUSE//1MON/EXISTING/
	50	22		/CALSIM/09_NU_NV/LANDUSE//1MON/EXISTING/
	51	1		/CALSIM/10_NA_AL/LANDUSE//1MON/EXISTING/
	51	2		/CALSIM/10_NA_AP/LANDUSE//1MON/EXISTING/
	51	3		/CALSIM/10_NA_CO/LANDUSE//1MON/EXISTING/
	51	4		/CALSIM/10_NA_CR/LANDUSE//1MON/EXISTING/
	51	5		/CALSIM/10_NA_CU/LANDUSE//1MON/EXISTING/
	51	6		/CALSIM/10_NA_DB/LANDUSE//1MON/EXISTING/
	51	7		/CALSIM/10_NA_FI/LANDUSE//1MON/EXISTING/
	51	8		/CALSIM/10_NA_GR/LANDUSE//1MON/EXISTING/
	51	9		/CALSIM/10_NA_OG/LANDUSE//1MON/EXISTING/
	51	10		/CALSIM/10_NA_OR/LANDUSE//1MON/EXISTING/
	51	11		/CALSIM/10_NA_PA/LANDUSE//1MON/EXISTING/
	51	12		/CALSIM/10_NA_PO/LANDUSE//1MON/EXISTING/
	51	13		/CALSIM/10_NA_RI/LANDUSE//1MON/EXISTING/
	51	14		/CALSIM/10_NA_SB/LANDUSE//1MON/EXISTING/
	51	15		/CALSIM/10_NA_SF/LANDUSE//1MON/EXISTING/
	51	16		/CALSIM/10_NA_SO/LANDUSE//1MON/EXISTING/
	51	17		/CALSIM/10_NA_TH/LANDUSE//1MON/EXISTING/
	51	18		/CALSIM/10_NA_TM/LANDUSE//1MON/EXISTING/
	51	19		/CALSIM/10_NA_TR/LANDUSE//1MON/EXISTING/
	51	20		/CALSIM/10_NA_VI/LANDUSE//1MON/EXISTING/
	51	21		/CALSIM/10_NA_UR/LANDUSE//1MON/EXISTING/
	51	22		/CALSIM/10_NA_NV/LANDUSE//1MON/EXISTING/
	52	1		/CALSIM/10_NU1_AL/LANDUSE//1MON/EXISTING/
	52	2		/CALSIM/10_NU1_AP/LANDUSE//1MON/EXISTING/
	52	3		/CALSIM/10_NU1_CO/LANDUSE//1MON/EXISTING/
	52	4		/CALSIM/10_NU1_CR/LANDUSE//1MON/EXISTING/
	52	5		/CALSIM/10_NU1_CU/LANDUSE//1MON/EXISTING/
	52	6		/CALSIM/10_NU1_DB/LANDUSE//1MON/EXISTING/
	52	7		/CALSIM/10_NU1_FI/LANDUSE//1MON/EXISTING/
	52	8		/CALSIM/10_NU1_GR/LANDUSE//1MON/EXISTING/
	52	9		/CALSIM/10_NU1_OG/LANDUSE//1MON/EXISTING/
	52	10		/CALSIM/10_NU1_OR/LANDUSE//1MON/EXISTING/
	52	11		/CALSIM/10_NU1_PA/LANDUSE//1MON/EXISTING/
	52	12		/CALSIM/10_NU1_PO/LANDUSE//1MON/EXISTING/
	52	13		/CALSIM/10_NU1_RI/LANDUSE//1MON/EXISTING/
	52	14		/CALSIM/10_NU1_SB/LANDUSE//1MON/EXISTING/
	52	15		/CALSIM/10_NU1_SF/LANDUSE//1MON/EXISTING/
	52	16		/CALSIM/10_NU1_SO/LANDUSE//1MON/EXISTING/
	52	17		/CALSIM/10_NU1_TH/LANDUSE//1MON/EXISTING/
	52	18		/CALSIM/10_NU1_TM/LANDUSE//1MON/EXISTING/
	52	19		/CALSIM/10_NU1_TR/LANDUSE//1MON/EXISTING/
	52	20		/CALSIM/10_NU1_VI/LANDUSE//1MON/EXISTING/
	52	21		/CALSIM/10_NU1_UR/LANDUSE//1MON/EXISTING/
	52	22		/CALSIM/10_NU1_NV/LANDUSE//1MON/EXISTING/
	53	1		/CALSIM/10_NU2_AL/LANDUSE//1MON/EXISTING/
	53	2		/CALSIM/10_NU2_AP/LANDUSE//1MON/EXISTING/
	53	3		/CALSIM/10_NU2_CO/LANDUSE//1MON/EXISTING/
	53	4		/CALSIM/10_NU2_CR/LANDUSE//1MON/EXISTING/
	53	5		/CALSIM/10_NU2_CU/LANDUSE//1MON/EXISTING/
	53	6		/CALSIM/10_NU2_DB/LANDUSE//1MON/EXISTING/
	53	7		/CALSIM/10_NU2_FI/LANDUSE//1MON/EXISTING/
	53	8		/CALSIM/10_NU2_GR/LANDUSE//1MON/EXISTING/
	53	9		/CALSIM/10_NU2_OG/LANDUSE//1MON/EXISTING/
	53	10		/CALSIM/10_NU2_OR/LANDUSE//1MON/EXISTING/
	53	11		/CALSIM/10_NU2_PA/LANDUSE//1MON/EXISTING/
	53	12		/CALSIM/10_NU2_PO/LANDUSE//1MON/EXISTING/
	53	13		/CALSIM/10_NU2_RI/LANDUSE//1MON/EXISTING/
	53	14		/CALSIM/10_NU2_SB/LANDUSE//1MON/EXISTING/
	53	15		/CALSIM/10_NU2_SF/LANDUSE//1MON/EXISTING/
	53	16		/CALSIM/10_NU2_SO/LANDUSE//1MON/EXISTING/
	53	17		/CALSIM/10_NU2_TH/LANDUSE//1MON/EXISTING/
	53	18		/CALSIM/10_NU2_TM/LANDUSE//1MON/EXISTING/
	53	19		/CALSIM/10_NU2_TR/LANDUSE//1MON/EXISTING/
	53	20		/CALSIM/10_NU2_VI/LANDUSE//1MON/EXISTING/
	53	21		/CALSIM/10_NU2_UR/LANDUSE//1MON/EXISTING/
	53	22		/CALSIM/10_NU2_NV/LANDUSE//1MON/EXISTING/
	54	1		/CALSIM/11_NA_AL/LANDUSE//1MON/EXISTING/
	54	2		/CALSIM/11_NA_AP/LANDUSE//1MON/EXISTING/
	54	3		/CALSIM/11_NA_CO/LANDUSE//1MON/EXISTING/
	54	4		/CALSIM/11_NA_CR/LANDUSE//1MON/EXISTING/
	54	5		/CALSIM/11_NA_CU/LANDUSE//1MON/EXISTING/
	54	6		/CALSIM/11_NA_DB/LANDUSE//1MON/EXISTING/
	54	7		/CALSIM/11_NA_FI/LANDUSE//1MON/EXISTING/
	54	8		/CALSIM/11_NA_GR/LANDUSE//1MON/EXISTING/
	54	9		/CALSIM/11_NA_OG/LANDUSE//1MON/EXISTING/
	54	10		/CALSIM/11_NA_OR/LANDUSE//1MON/EXISTING/
	54	11		/CALSIM/11_NA_PA/LANDUSE//1MON/EXISTING/
	54	12		/CALSIM/11_NA_PO/LANDUSE//1MON/EXISTING/
	54	13		/CALSIM/11_NA_RI/LANDUSE//1MON/EXISTING/
	54	14		/CALSIM/11_NA_SB/LANDUSE//1MON/EXISTING/
	54	15		/CALSIM/11_NA_SF/LANDUSE//1MON/EXISTING/
	54	16		/CALSIM/11_NA_SO/LANDUSE//1MON/EXISTING/
	54	17		/CALSIM/11_NA_TH/LANDUSE//1MON/EXISTING/
	54	18		/CALSIM/11_NA_TM/LANDUSE//1MON/EXISTING/
	54	19		/CALSIM/11_NA_TR/LANDUSE//1MON/EXISTING/
	54	20		/CALSIM/11_NA_VI/LANDUSE//1MON/EXISTING/
	54	21		/CALSIM/11_NA_UR/LANDUSE//1MON/EXISTING/
	54	22		/CALSIM/11_NA_NV/LANDUSE//1MON/EXISTING/
	55	1		/CALSIM/11_SA1_AL/LANDUSE//1MON/EXISTING/
	55	2		/CALSIM/11_SA1_AP/LANDUSE//1MON/EXISTING/
	55	3		/CALSIM/11_SA1_CO/LANDUSE//1MON/EXISTING/
	55	4		/CALSIM/11_SA1_CR/LANDUSE//1MON/EXISTING/
	55	5		/CALSIM/11_SA1_CU/LANDUSE//1MON/EXISTING/
	55	6		/CALSIM/11_SA1_DB/LANDUSE//1MON/EXISTING/
	55	7		/CALSIM/11_SA1_FI/LANDUSE//1MON/EXISTING/
	55	8		/CALSIM/11_SA1_GR/LANDUSE//1MON/EXISTING/
	55	9		/CALSIM/11_SA1_OG/LANDUSE//1MON/EXISTING/
	55	10		/CALSIM/11_SA1_OR/LANDUSE//1MON/EXISTING/
	55	11		/CALSIM/11_SA1_PA/LANDUSE//1MON/EXISTING/
	55	12		/CALSIM/11_SA1_PO/LANDUSE//1MON/EXISTING/
	55	13		/CALSIM/11_SA1_RI/LANDUSE//1MON/EXISTING/
	55	14		/CALSIM/11_SA1_SB/LANDUSE//1MON/EXISTING/
	55	15		/CALSIM/11_SA1_SF/LANDUSE//1MON/EXISTING/
	55	16		/CALSIM/11_SA1_SO/LANDUSE//1MON/EXISTING/
	55	17		/CALSIM/11_SA1_TH/LANDUSE//1MON/EXISTING/
	55	18		/CALSIM/11_SA1_TM/LANDUSE//1MON/EXISTING/
	55	19		/CALSIM/11_SA1_TR/LANDUSE//1MON/EXISTING/
	55	20		/CALSIM/11_SA1_VI/LANDUSE//1MON/EXISTING/
	55	21		/CALSIM/11_SA1_UR/LANDUSE//1MON/EXISTING/
	55	22		/CALSIM/11_SA1_NV/LANDUSE//1MON/EXISTING/
	56	1		/CALSIM/11_SA2_AL/LANDUSE//1MON/EXISTING/
	56	2		/CALSIM/11_SA2_AP/LANDUSE//1MON/EXISTING/
	56	3		/CALSIM/11_SA2_CO/LANDUSE//1MON/EXISTING/
	56	4		/CALSIM/11_SA2_CR/LANDUSE//1MON/EXISTING/
	56	5		/CALSIM/11_SA2_CU/LANDUSE//1MON/EXISTING/
	56	6		/CALSIM/11_SA2_DB/LANDUSE//1MON/EXISTING/
	56	7		/CALSIM/11_SA2_FI/LANDUSE//1MON/EXISTING/
	56	8		/CALSIM/11_SA2_GR/LANDUSE//1MON/EXISTING/
	56	9		/CALSIM/11_SA2_OG/LANDUSE//1MON/EXISTING/
	56	10		/CALSIM/11_SA2_OR/LANDUSE//1MON/EXISTING/
	56	11		/CALSIM/11_SA2_PA/LANDUSE//1MON/EXISTING/
	56	12		/CALSIM/11_SA2_PO/LANDUSE//1MON/EXISTING/
	56	13		/CALSIM/11_SA2_RI/LANDUSE//1MON/EXISTING/
	56	14		/CALSIM/11_SA2_SB/LANDUSE//1MON/EXISTING/
	56	15		/CALSIM/11_SA2_SF/LANDUSE//1MON/EXISTING/
	56	16		/CALSIM/11_SA2_SO/LANDUSE//1MON/EXISTING/
	56	17		/CALSIM/11_SA2_TH/LANDUSE//1MON/EXISTING/
	56	18		/CALSIM/11_SA2_TM/LANDUSE//1MON/EXISTING/
	56	19		/CALSIM/11_SA2_TR/LANDUSE//1MON/EXISTING/
	56	20		/CALSIM/11_SA2_VI/LANDUSE//1MON/EXISTING/
	56	21		/CALSIM/11_SA2_UR/LANDUSE//1MON/EXISTING/
	56	22		/CALSIM/11_SA2_NV/LANDUSE//1MON/EXISTING/
	57	1		/CALSIM/11_SA3_AL/LANDUSE//1MON/EXISTING/
	57	2		/CALSIM/11_SA3_AP/LANDUSE//1MON/EXISTING/
	57	3		/CALSIM/11_SA3_CO/LANDUSE//1MON/EXISTING/
	57	4		/CALSIM/11_SA3_CR/LANDUSE//1MON/EXISTING/
	57	5		/CALSIM/11_SA3_CU/LANDUSE//1MON/EXISTING/
	57	6		/CALSIM/11_SA3_DB/LANDUSE//1MON/EXISTING/
	57	7		/CALSIM/11_SA3_FI/LANDUSE//1MON/EXISTING/
	57	8		/CALSIM/11_SA3_GR/LANDUSE//1MON/EXISTING/
	57	9		/CALSIM/11_SA3_OG/LANDUSE//1MON/EXISTING/
	57	10		/CALSIM/11_SA3_OR/LANDUSE//1MON/EXISTING/
	57	11		/CALSIM/11_SA3_PA/LANDUSE//1MON/EXISTING/
	57	12		/CALSIM/11_SA3_PO/LANDUSE//1MON/EXISTING/
	57	13		/CALSIM/11_SA3_RI/LANDUSE//1MON/EXISTING/
	57	14		/CALSIM/11_SA3_SB/LANDUSE//1MON/EXISTING/
	57	15		/CALSIM/11_SA3_SF/LANDUSE//1MON/EXISTING/
	57	16		/CALSIM/11_SA3_SO/LANDUSE//1MON/EXISTING/
	57	17		/CALSIM/11_SA3_TH/LANDUSE//1MON/EXISTING/
	57	18		/CALSIM/11_SA3_TM/LANDUSE//1MON/EXISTING/
	57	19		/CALSIM/11_SA3_TR/LANDUSE//1MON/EXISTING/
	57	20		/CALSIM/11_SA3_VI/LANDUSE//1MON/EXISTING/
	57	21		/CALSIM/11_SA3_UR/LANDUSE//1MON/EXISTING/
	57	22		/CALSIM/11_SA3_NV/LANDUSE//1MON/EXISTING/
	58	1		/CALSIM/11_SA4_AL/LANDUSE//1MON/EXISTING/
	58	2		/CALSIM/11_SA4_AP/LANDUSE//1MON/EXISTING/
	58	3		/CALSIM/11_SA4_CO/LANDUSE//1MON/EXISTING/
	58	4		/CALSIM/11_SA4_CR/LANDUSE//1MON/EXISTING/
	58	5		/CALSIM/11_SA4_CU/LANDUSE//1MON/EXISTING/
	58	6		/CALSIM/11_SA4_DB/LANDUSE//1MON/EXISTING/
	58	7		/CALSIM/11_SA4_FI/LANDUSE//1MON/EXISTING/
	58	8		/CALSIM/11_SA4_GR/LANDUSE//1MON/EXISTING/
	58	9		/CALSIM/11_SA4_OG/LANDUSE//1MON/EXISTING/
	58	10		/CALSIM/11_SA4_OR/LANDUSE//1MON/EXISTING/
	58	11		/CALSIM/11_SA4_PA/LANDUSE//1MON/EXISTING/
	58	12		/CALSIM/11_SA4_PO/LANDUSE//1MON/EXISTING/
	58	13		/CALSIM/11_SA4_RI/LANDUSE//1MON/EXISTING/
	58	14		/CALSIM/11_SA4_SB/LANDUSE//1MON/EXISTING/
	58	15		/CALSIM/11_SA4_SF/LANDUSE//1MON/EXISTING/
	58	16		/CALSIM/11_SA4_SO/LANDUSE//1MON/EXISTING/
	58	17		/CALSIM/11_SA4_TH/LANDUSE//1MON/EXISTING/
	58	18		/CALSIM/11_SA4_TM/LANDUSE//1MON/EXISTING/
	58	19		/CALSIM/11_SA4_TR/LANDUSE//1MON/EXISTING/
	58	20		/CALSIM/11_SA4_VI/LANDUSE//1MON/EXISTING/
	58	21		/CALSIM/11_SA4_UR/LANDUSE//1MON/EXISTING/
	58	22		/CALSIM/11_SA4_NV/LANDUSE//1MON/EXISTING/
	59	1		/CALSIM/11_PR_AL/LANDUSE//1MON/EXISTING/
	59	2		/CALSIM/11_PR_AP/LANDUSE//1MON/EXISTING/
	59	3		/CALSIM/11_PR_CO/LANDUSE//1MON/EXISTING/
	59	4		/CALSIM/11_PR_CR/LANDUSE//1MON/EXISTING/
	59	5		/CALSIM/11_PR_CU/LANDUSE//1MON/EXISTING/
	59	6		/CALSIM/11_PR_DB/LANDUSE//1MON/EXISTING/
	59	7		/CALSIM/11_PR_FI/LANDUSE//1MON/EXISTING/
	59	8		/CALSIM/11_PR_GR/LANDUSE//1MON/EXISTING/
	59	9		/CALSIM/11_PR_OG/LANDUSE//1MON/EXISTING/
	59	10		/CALSIM/11_PR_OR/LANDUSE//1MON/EXISTING/
	59	11		/CALSIM/11_PR_PA/LANDUSE//1MON/EXISTING/
	59	12		/CALSIM/11_PR_PO/LANDUSE//1MON/EXISTING/
	59	13		/CALSIM/11_PR_RI/LANDUSE//1MON/EXISTING/
	59	14		/CALSIM/11_PR_SB/LANDUSE//1MON/EXISTING/
	59	15		/CALSIM/11_PR_SF/LANDUSE//1MON/EXISTING/
	59	16		/CALSIM/11_PR_SO/LANDUSE//1MON/EXISTING/
	59	17		/CALSIM/11_PR_TH/LANDUSE//1MON/EXISTING/
	59	18		/CALSIM/11_PR_TM/LANDUSE//1MON/EXISTING/
	59	19		/CALSIM/11_PR_TR/LANDUSE//1MON/EXISTING/
	59	20		/CALSIM/11_PR_VI/LANDUSE//1MON/EXISTING/
	59	21		/CALSIM/11_PR_UR/LANDUSE//1MON/EXISTING/
	59	22		/CALSIM/11_PR_NV/LANDUSE//1MON/EXISTING/
	60	1		/CALSIM/11_NU1_AL/LANDUSE//1MON/EXISTING/
	60	2		/CALSIM/11_NU1_AP/LANDUSE//1MON/EXISTING/
	60	3		/CALSIM/11_NU1_CO/LANDUSE//1MON/EXISTING/
	60	4		/CALSIM/11_NU1_CR/LANDUSE//1MON/EXISTING/
	60	5		/CALSIM/11_NU1_CU/LANDUSE//1MON/EXISTING/
	60	6		/CALSIM/11_NU1_DB/LANDUSE//1MON/EXISTING/
	60	7		/CALSIM/11_NU1_FI/LANDUSE//1MON/EXISTING/
	60	8		/CALSIM/11_NU1_GR/LANDUSE//1MON/EXISTING/
	60	9		/CALSIM/11_NU1_OG/LANDUSE//1MON/EXISTING/
	60	10		/CALSIM/11_NU1_OR/LANDUSE//1MON/EXISTING/
	60	11		/CALSIM/11_NU1_PA/LANDUSE//1MON/EXISTING/
	60	12		/CALSIM/11_NU1_PO/LANDUSE//1MON/EXISTING/
	60	13		/CALSIM/11_NU1_RI/LANDUSE//1MON/EXISTING/
	60	14		/CALSIM/11_NU1_SB/LANDUSE//1MON/EXISTING/
	60	15		/CALSIM/11_NU1_SF/LANDUSE//1MON/EXISTING/
	60	16		/CALSIM/11_NU1_SO/LANDUSE//1MON/EXISTING/
	60	17		/CALSIM/11_NU1_TH/LANDUSE//1MON/EXISTING/
	60	18		/CALSIM/11_NU1_TM/LANDUSE//1MON/EXISTING/
	60	19		/CALSIM/11_NU1_TR/LANDUSE//1MON/EXISTING/
	60	20		/CALSIM/11_NU1_VI/LANDUSE//1MON/EXISTING/
	60	21		/CALSIM/11_NU1_UR/LANDUSE//1MON/EXISTING/
	60	22		/CALSIM/11_NU1_NV/LANDUSE//1MON/EXISTING/
	61	1		/CALSIM/11_NU2_AL/LANDUSE//1MON/EXISTING/
	61	2		/CALSIM/11_NU2_AP/LANDUSE//1MON/EXISTING/
	61	3		/CALSIM/11_NU2_CO/LANDUSE//1MON/EXISTING/
	61	4		/CALSIM/11_NU2_CR/LANDUSE//1MON/EXISTING/
	61	5		/CALSIM/11_NU2_CU/LANDUSE//1MON/EXISTING/
	61	6		/CALSIM/11_NU2_DB/LANDUSE//1MON/EXISTING/
	61	7		/CALSIM/11_NU2_FI/LANDUSE//1MON/EXISTING/
	61	8		/CALSIM/11_NU2_GR/LANDUSE//1MON/EXISTING/
	61	9		/CALSIM/11_NU2_OG/LANDUSE//1MON/EXISTING/
	61	10		/CALSIM/11_NU2_OR/LANDUSE//1MON/EXISTING/
	61	11		/CALSIM/11_NU2_PA/LANDUSE//1MON/EXISTING/
	61	12		/CALSIM/11_NU2_PO/LANDUSE//1MON/EXISTING/
	61	13		/CALSIM/11_NU2_RI/LANDUSE//1MON/EXISTING/
	61	14		/CALSIM/11_NU2_SB/LANDUSE//1MON/EXISTING/
	61	15		/CALSIM/11_NU2_SF/LANDUSE//1MON/EXISTING/
	61	16		/CALSIM/11_NU2_SO/LANDUSE//1MON/EXISTING/
	61	17		/CALSIM/11_NU2_TH/LANDUSE//1MON/EXISTING/
	61	18		/CALSIM/11_NU2_TM/LANDUSE//1MON/EXISTING/
	61	19		/CALSIM/11_NU2_TR/LANDUSE//1MON/EXISTING/
	61	20		/CALSIM/11_NU2_VI/LANDUSE//1MON/EXISTING/
	61	21		/CALSIM/11_NU2_UR/LANDUSE//1MON/EXISTING/
	61	22		/CALSIM/11_NU2_NV/LANDUSE//1MON/EXISTING/
	62	1		/CALSIM/12_NA_AL/LANDUSE//1MON/EXISTING/
	62	2		/CALSIM/12_NA_AP/LANDUSE//1MON/EXISTING/
	62	3		/CALSIM/12_NA_CO/LANDUSE//1MON/EXISTING/
	62	4		/CALSIM/12_NA_CR/LANDUSE//1MON/EXISTING/
	62	5		/CALSIM/12_NA_CU/LANDUSE//1MON/EXISTING/
	62	6		/CALSIM/12_NA_DB/LANDUSE//1MON/EXISTING/
	62	7		/CALSIM/12_NA_FI/LANDUSE//1MON/EXISTING/
	62	8		/CALSIM/12_NA_GR/LANDUSE//1MON/EXISTING/
	62	9		/CALSIM/12_NA_OG/LANDUSE//1MON/EXISTING/
	62	10		/CALSIM/12_NA_OR/LANDUSE//1MON/EXISTING/
	62	11		/CALSIM/12_NA_PA/LANDUSE//1MON/EXISTING/
	62	12		/CALSIM/12_NA_PO/LANDUSE//1MON/EXISTING/
	62	13		/CALSIM/12_NA_RI/LANDUSE//1MON/EXISTING/
	62	14		/CALSIM/12_NA_SB/LANDUSE//1MON/EXISTING/
	62	15		/CALSIM/12_NA_SF/LANDUSE//1MON/EXISTING/
	62	16		/CALSIM/12_NA_SO/LANDUSE//1MON/EXISTING/
	62	17		/CALSIM/12_NA_TH/LANDUSE//1MON/EXISTING/
	62	18		/CALSIM/12_NA_TM/LANDUSE//1MON/EXISTING/
	62	19		/CALSIM/12_NA_TR/LANDUSE//1MON/EXISTING/
	62	20		/CALSIM/12_NA_VI/LANDUSE//1MON/EXISTING/
	62	21		/CALSIM/12_NA_UR/LANDUSE//1MON/EXISTING/
	62	22		/CALSIM/12_NA_NV/LANDUSE//1MON/EXISTING/
	63	1		/CALSIM/12_SA_AL/LANDUSE//1MON/EXISTING/
	63	2		/CALSIM/12_SA_AP/LANDUSE//1MON/EXISTING/
	63	3		/CALSIM/12_SA_CO/LANDUSE//1MON/EXISTING/
	63	4		/CALSIM/12_SA_CR/LANDUSE//1MON/EXISTING/
	63	5		/CALSIM/12_SA_CU/LANDUSE//1MON/EXISTING/
	63	6		/CALSIM/12_SA_DB/LANDUSE//1MON/EXISTING/
	63	7		/CALSIM/12_SA_FI/LANDUSE//1MON/EXISTING/
	63	8		/CALSIM/12_SA_GR/LANDUSE//1MON/EXISTING/
	63	9		/CALSIM/12_SA_OG/LANDUSE//1MON/EXISTING/
	63	10		/CALSIM/12_SA_OR/LANDUSE//1MON/EXISTING/
	63	11		/CALSIM/12_SA_PA/LANDUSE//1MON/EXISTING/
	63	12		/CALSIM/12_SA_PO/LANDUSE//1MON/EXISTING/
	63	13		/CALSIM/12_SA_RI/LANDUSE//1MON/EXISTING/
	63	14		/CALSIM/12_SA_SB/LANDUSE//1MON/EXISTING/
	63	15		/CALSIM/12_SA_SF/LANDUSE//1MON/EXISTING/
	63	16		/CALSIM/12_SA_SO/LANDUSE//1MON/EXISTING/
	63	17		/CALSIM/12_SA_TH/LANDUSE//1MON/EXISTING/
	63	18		/CALSIM/12_SA_TM/LANDUSE//1MON/EXISTING/
	63	19		/CALSIM/12_SA_TR/LANDUSE//1MON/EXISTING/
	63	20		/CALSIM/12_SA_VI/LANDUSE//1MON/EXISTING/
	63	21		/CALSIM/12_SA_UR/LANDUSE//1MON/EXISTING/
	63	22		/CALSIM/12_SA_NV/LANDUSE//1MON/EXISTING/
	64	1		/CALSIM/12_NU1_AL/LANDUSE//1MON/EXISTING/
	64	2		/CALSIM/12_NU1_AP/LANDUSE//1MON/EXISTING/
	64	3		/CALSIM/12_NU1_CO/LANDUSE//1MON/EXISTING/
	64	4		/CALSIM/12_NU1_CR/LANDUSE//1MON/EXISTING/
	64	5		/CALSIM/12_NU1_CU/LANDUSE//1MON/EXISTING/
	64	6		/CALSIM/12_NU1_DB/LANDUSE//1MON/EXISTING/
	64	7		/CALSIM/12_NU1_FI/LANDUSE//1MON/EXISTING/
	64	8		/CALSIM/12_NU1_GR/LANDUSE//1MON/EXISTING/
	64	9		/CALSIM/12_NU1_OG/LANDUSE//1MON/EXISTING/
	64	10		/CALSIM/12_NU1_OR/LANDUSE//1MON/EXISTING/
	64	11		/CALSIM/12_NU1_PA/LANDUSE//1MON/EXISTING/
	64	12		/CALSIM/12_NU1_PO/LANDUSE//1MON/EXISTING/
	64	13		/CALSIM/12_NU1_RI/LANDUSE//1MON/EXISTING/
	64	14		/CALSIM/12_NU1_SB/LANDUSE//1MON/EXISTING/
	64	15		/CALSIM/12_NU1_SF/LANDUSE//1MON/EXISTING/
